Players,Scouting Report,Sentiment Score
goga bitadze,Has the skillset to block shots at an elite level… Great timing and instincts contesting shots… Good rebounder… Showed solid passing skills and court vision in Europe… But has yet to materialize in NBA… Physically suffers against stronger opponents right now… Shoots some from the perimeter but nothing too consistent… Fouls way too frequently… Needs a bigger role to calibrate if he can be a high level rotation player.,0.3818
gradey dick,Great spot-up shooter with a quick release… Can adjust on the fly with pull-up jumpers or side-step threes… Loves to relocate for better passing angles.. Likes to run to the wings during transition… High basketball IQ on the offensive end… Active on defensive end… Causes a lot of deflections… Needs work as a iso defender… Often gets hunted on switches… Often needs a second help defender… Gets blown by too often as a wing defender.,0.9468
grant williams,"Extremely high basketball IQ… Makes a lot of winning plays… Uses wide body well on the glass and setting screens… Doesn’t have a true position… Though that’s not a huge issue in the modern NBA… Can play small-ball center, even though he’s 6-foot-8… Has even become a dependable three-point shooter.",0.8289
grayson allen,"Highly athletic 2-guard with a great three-point stroke… Can hit shots from deep with his feet set and coming off of screens… Attacks closeouts well and has a floater he likes to go to… Can get hot quick, but not that consistent on a night-to-night basis as a scorer… Plays with a lot of energy and competes hard… Sometimes too hard, and it gets him in trouble… Solid defender, bordering on a good one.",0.9178
harrison barnes,Can play both forward spots… Fine offensive player… Efficient spot-up shooter… Not so good finishing around the rim… Active defender… Could really thrive as a role player on a contending team.,0.3962
haywood highsmith,"Elite defender who makes a huge impact on that end… Quick enough feet, good size and length… Pokes away balls from opposing ballhandlers and picks up steals from passing lanes… Forces opponents into tough shots which he contests well thanks to length… Very much a work in progress on offense… Poor shooter from the outside and doesn’t do much scoring from other areas… Lacks skill offensively.",0.1779
immanuel quickley,"Super quick point guard with insane length at 6-foot-10… Elite floater game… He will put up teardrop shots from any angle in the short mid-range… Best skill is his outside shooting… Hit over 40 percent from deep in two years at Kentucky… Hits them off the dribble, too… Still developing his playmaking skills, but getting better there… Must get stronger to improve finishing in traffic.",0.936
isaac okoro,"Great size on the wing at 225 pounds with a thick frame… Outstanding defender who can legitimatley guard all five positions… Plays with a lot of intensity on defense… Thanks to strength, can finish plays in a crowd… Plays within himself and makes smart passes… Not much of a shooter yet and his jump-shot mechanics don’t indicate someone who will ever be a plus-shooter… Lacks quickness and burst… Won’t make plays off the bounce.",0.9729
isaiah hartenstein,Tough defensive-minded big man… Always willing to do the dirty work… Strong rebounder… Good court vision… Slow player defending outside the paint… Hasn’t shown his long-distance shot potential yet.,0.4215
isaiah joe,"Must be defended as soon as he checks in because he’ll launch threes from anywhere… Great stroke on three-point shot… Able to knock down shots off the dribble as well… Quick and tenacious, which really helps him excel on defense… Must improve shot selection… Doesn’t attack closeouts or get in the paint enough… Not the biggest player, so he gets caught up in screens at times.",0.8766
isaiah stewart,"Jacked 6-foot-9 big man with a wide frame and a lot of muscles… Even so, surprisngly soft touch around the rim… Has an array of post moves he uses to attack defenders… An absolute best when attacking offensive rebounds… Just a decent athlete, though he uses mobility well on the open floor… Regardless, lack of athleticism will hurt him when finishing around taller players… Too often looks for own shot when he touches the ball.",-0.8176
ivica zubac,Old-fashioned center… Solid rebounder on both ends… High-efficiency finishing at the rim… Great in the pick-and-roll… Physically stronger than during his early NBA years… Low-maintenance player… Not a threat outside the paint… Lacks explosiveness… Will get exposed when opposing teams play small ball… Can’t really switch onto ball-handlers.,0.9037
ja morant,Electric offensive player… Fearless driving to the rim… Can finish on virtually anyone… Great body control… Flashy playmaker… Has worked on his perimeter shot where it has to be respected… Worth the price of a ticket… Turnover prone… Often hunted on defense… May not have the body to be an elite defender… Can be too reckless looking for the beautiful play… Must develop more efficient shooting to offset athleticism when older.,0.8805
jaden hardy,"
Do you find this scouting report inaccurate/outdated? Contact us here: hoopshype@hoopshype.com 
",0.0
jaden ivey,"Huge potential thanks to absolutely freakish physical gifts… If the skill level comes along as it has in the last few years as a shooter, he can be a superstar guard… His athleticism is that next-level… Lightning fast up and down the floor and huge vertical leaping ability… Streaky shooter and can continue to improve as a playmaker",0.719
jaden mcdaniels,"Swingman with outstanding size at 6-foot-9 with a near 7-foot wingspan… Inconsistent outside shooter… But his jumper looks solid, so that should improve with NBA coaching… Smooth ball-handler, so he can get open even with defenders on him… Quick feet and great length, so he has the makings of a future great defender… Needs to get stronger… Lack of strength caused him to miss a lot of contests paint shots… Lacks great insticts on offense, particularly as a passer.",0.9798
jae crowder,"Step slower now that he’s older but still effective 3-and-D wing… Reliable role player who is almost always on winning teams… Shooting numbers are ugly, but he can hit an open corner three… Super strong… His defensive intensity is top-notch… Can cover multiple positions too… Someone you want on your side when things get tough.",0.878
jaesean tate,"Former four-year player at Ohio State who spent the last two seasons in the Belgian and Australian leagues… 1st Team All-League in Australia last season… Average athlete… Very high-IQ player, though… Competes on both ends… Uses his body well in the post… Creative lefty ball-handler… Can finish in traffic… Poor outside shooter… Solid playmaker.",0.3612
jake laravia,Not much of an athlete but more than makes up for that with great feel for the game… Can knock down shots with his feet set from the outside… An adept off-ball cutter… Keeps the ball moving and makes smart passes… Gives effort defensively… Doesn’t shoot as well off the dribble and just an average ball-handler.,0.8674
jakob poeltl,Strong rebounder… Great timing especially crashing his own glass… Can finish at the rim… Elite shot blocker and alters many shots around the rim… Improved a lot by not fouling as much and staying on the court… Runs the floor well… Lacks toughness at times… Not many resources outside the paint… Abysmal free-throw shooter.,0.8834
jalen brunson,A bit undersized but don’t let that fool you… Can get to the rim at an elite level… Crafty and relies on his footwork to be effective… Has the ability to hit the stepback three as well… Playmaker that can set teammates up for open shots… Really has improved every season he’s been in the league… Borderline All-Star point guard… Small frame leaves him somewhat bad defensively… At least he gives effort.,-0.1638
jalen duren,"Freakish athlete at 6-foot-10 with a whole lot of bounce for a player of that size… Fantastic rim-protector thanks to length, hops and instincts… Able to finish at a high level around the bucket… Good nose and effort on the offensive glass… Limited post game and not a good shooter from any range… Needs to bulk up a bit.",-0.0015
jalen green,"
Do you find this scouting report inaccurate/outdated? Contact us here: hoopshype@hoopshype.com 
",0.0
jalen johnson,Huge potential as a prospect but has yet to put it all together… That potential is due to his size and length that comes with lead-guard skills… Very fast player which helps him get out in the open floor… Able to get buckets from the midrange… Can finish above the rim… Multi-position defender… Streaky shooter though the shooting stroke is decent… Still entirely too inconsistent… Figuring out his game… Raw.,0.6858
jalen pickett,Sturdy point guard that loves to play through contact… Using his hips and body well to create space as he drives to rim… Lets the game dictate how he should play… Utilizes pick-and-roll game well with patience… Doesn’t turn the ball over often… Solid court vision and can sometimes see plays develop before he passes… Soft touch from mid-range within… Best when there’s open space… Not the best athlete… Willing to take threes but not too accurate… Not great at fighting over screens on defense.,0.7499
jalen smith,"Shot-blocking big man with solid shooting touch from the outside… Averaged 2.4 blocks his last season at Maryland… Great screener and good roller to the basket, where he is able to finish plays athletically… Does some scoring in transition… Agile big man with solid feet… Must improve playmaking and passing… Too often looks for his own shot instead of keeping the ball moving… Tends to get exposed on switches against guards.",0.8979
jalen williams,"Good size and length for a wing… Biggest strength is his shooting, as he can knock down jumpers from range both off the dribble and with his feet set… Solid playmaker for a scorer… Can handle the rock creatively to get by opponents… That helps as he’s just an average athlete without an elite first step.",0.8957
jalen wilson,Prototypical 6-foot-6 wing… Streaky shooter… Struggles with shooting when there’s even a little pressure… Shooting release can be inconsistent… Best from mid-range… Especially posting up… Almost always goes to a mid-range shot as a shot creator… Gets called for charges due to predictability… Average defensively… Can get punished if opponent is stronger… Sometimes loses focus on switches… Doesn’t close out well.,-0.3818
jamal cain,Wing with good size and athleticism for the position… A finisher of plays more than a creator at this stage… Very good timing as an off-ball cutter and slasher… Will need to improve on skill as a ballhandler and shooter… Has good defensive potential.,0.9136
jamal murray,Natural-born scorer… Never afraid of taking big shots… Always focused… Able to provide scoring bursts… Can get hot in a hurry… Solid passer when needed… Smart pass interceptor… His clock management is not always ideal… Suffered a serious injury… Will be interesting to see how he comes back… Inconsistent at times.,0.8089
james harden,One of the best bucket-getters in NBA history… Virtually unstoppable when he drives unless you foul him… Gets to the free-throw line like few others… Can shoot over any defense… Step-back three is a killer… Great passing ability to find open shooters… Will rarely settle for a mid-range shoot… Great instincts reading opponents’ ball movement… Not a great playoff performer relative to regular season… Stamina is not always great when it matters the most… Turnover prone.,0.8661
jarace walker,Swiss-army knife defender… Can guard all five positions… Super high motor… Gets a lot of blocks… Stays in front of opponents without fouling… Doesn’t tend to jump much as a defender… Elite weak side defender… Reads passing lanes and gets steals… Catch-and-shooting is drastically improving… Could find a living in the corners… Has a soft touch from mid-range… Underrated court vision… Makes the right pass… Has trouble finishing around the rim… Should use his size to punish defenders getting to rim… Shooting is still inconsistent.,-0.5859
jaren jackson jr.,"Unique mix of athleticism in the paint and shooting abilities from deep… Splendid quickness for his size… Fluid moves posting up…  Can finish with either hand… Great bounce to protect the rim… Reliable jumper to stretch the court… Terrific defensive player, though he tends to easily get into foul trouble… Soft hands to protect the ball… Can be streaky as a three-point shooter… Has missed a lot of games already due to injury.",0.9403
jarred vanderbilt,7-foot-1 wingspan… Super athletic big… Absolute menace as a defender… Long frame allows him to steal and block effectively… Disrupts passing lanes and finishes in transition offense… Offensive game still raw… But can finish plays around the rim… Has only scratched his potential… More minutes will unlock better statistics and faster development.,0.3919
jarrett allen,"Long, athletic center… His reach is elite… Outstanding finisher out of the pick-and-roll… Timing and athleticism really shine out of those plays… Good bordering on great rebounder and shot-blocker… Thin frame, which can be a problem against bigger centers… But that’s a not huge issue besides against a few guys.",0.4131
javonte green,"Swingman with freakish speed and hops who plays with loads of energy… Relentless attacking the basket in transition… Averaged 2.0 steals per 36 minutes last season… Great at jumping passing lanes, though that sometimes backfires on him… Solid off-ball cutter… Can finish in traffic… Capable three-point shooter, though it hasn’t been dropping since he reached the NBA.",0.128
jaxson hayes,Explosive big man… Strong finisher at the rim… Good post-up moves… Great motor… Perfect complement to pick and roll with… Spectacular mix of bounce and wingspan to block shots… Unidimensional player in the offensive end… Developed a corner three… Shooting needs to continue to improve… Fouls way too much but improving slightly.,0.8294
jaylen brown,"A two-way force… Came into the NBA as a defensive specialist on the wing who could guard various positions… And he’s still that, a great defender, but he’s also developed into an elite scorer… Above-average outside shooter… Scores off the ball, too, as a slasher… Can even do scoring out of the pick-and-roll… Athletic and long so he can finish in the paint well… Turnover prone… Doesn’t have the tightest ball-handle… Improved playmaker but still not quite a strength.",0.491
jaylen nowell,"Sort of a tweener… A bit undersized… Tries to leak when he can for easy buckets… Can occasionally hit open threes… Not too much of a defender… Struggles to make good decisions offensively, like not taking open three and trying to get to the rim only to turn it over.",-0.1027
jayson tatum,"Versatile forward with plenty of ways to score… Nasty face-up game with an explosive first step and ability to glide through defenses… Very good athleticism… Pivoted away from taking mid-range jumpers to threes… Percentages are not awesome, though… Great instincts on defense… Drawing more fouls and knocks down free throws at a high rate… Good size and lateral quickness defensively… Emerged as a legitimate superstar… May win an MVP before his career is over.",0.6491
jeff green,"
Do you find this scouting report inaccurate/outdated? Contact us here: hoopshype@hoopshype.com 
",0.0
jerami grant,High-flying forward… Explosive finisher… Excellent… three-point shot to stretch the court… Great motor… Lacks strength to go one-on-one against more poweful players… Showed that he can create his shot… Has blossomed into a fantastic two-way player… All-Star caliber player now.,0.9186
jeremy sochan,"Elite defender… Can guard multiple positions thanks to size, length, athleticism and tenacity… Gifted on-ball and off-ball defender… Can finish around the basket with either hand… Struggles as a jump shooter… Won’t provide much on offense but does a good job of keeping the ball moving.",0.5499
jett howard,"Tall lanky wing at 6’8″… Fantastic catch and shoot skills… Quick release… Left perimeter wing is his favorite shooting spot… Automatic from the corners… Solid pull-up shooter as well… Can hit mid-range shots too… Potential as a 1-on1 scorer, although lacks athleticism to separate from opponents consistently… Subpar wing defender… Opponents like to hunt him on iso… Not a great finisher around the rim.",0.6131
jimmy butler,"Two-way player with a lot of competitive fire… Works really hard on the floor, which fits Miami’s culture… In-your-face leader not afraid to call anyone out… Really fills the stat sheet in the scoring, rebounding and creating departments… Can get you a bucket when the game is on the line thanks to a smooth mid-range game and fadeaway abilities… Has supreme confidence in his abilities… Not a threat from beyond the arc.",0.9298
jock landale,"
Do you find this scouting report inaccurate/outdated? Contact us here: hoopshype@hoopshype.com 
",0.0
joel embiid,"A bully in the frontcourt… At his best, the most dominant big man in the NBA on both ends… Excellent combination of size, strength, mobility and skill… Nasty face-up game… Can knock down jumpers with defenders in his face… Also a three-point threat… Draws more fouls than anybody else and knocks down free throws at a high rate… Intimidating defender… Typically not in top-notch shape… Stamina and health are issues with him.",0.802
john collins,"Freakishly athletic big man who can finish through opponents and above the rim… Also possesses a great skill level… Has the perfect style of play to be a power forward in today’s modern NBA… Can space the floor with the three, and attack the rim hard… Defensively, his impact isn’t anywhere near where it should be… Effort on that end wanes… Doesn’t move feet well on defense… Can show bad body language and not show good effort when team isn’t doing well.",0.4577
john konchar,Stands 6-foot-4 but almost plays like a frontcourt player… Fantastic rebounder for his size… Averaged nearly nine rebounds in the G League… Good playmaker… Surprising athleticism… Tenacious driver of the basketball… Finishes over length and through contact… Poor outside shooter… Good ball-handler.,0.9432
jonas valanciunas,"Excellent offensive player at center… Has old-school, effective post moves… Can finish with either hand in the paint… Beast out of the pick-and-roll and on the offensive glass… Has shown an ability to knock down perimeter shots occasionally… A bit-slow footed on defense… Even so, uses size well to deter opponents by the rim.",0.8255
jonathan isaac,"One of the more well-rounded defenders in basketball… Can legitimately cover any position 1-5… At 6-foor-10 with long arms and quick feet, an absolute terror to try and score on… His instincts on that end allow him to rack up tons of steals and blocks… Offensive game is average at best… Decent pull-up midrange jumper but inconsistent from three… Not very smooth 1-on-1… Will probably make his career known for his defense… Has not shown an ability to stay on the court… Gets hurt too often.",-0.8923
jonathan kuminga,"
Do you find this scouting report inaccurate/outdated? Contact us here: hoopshype@hoopshype.com 
",0.0
jordan clarkson,"Explosive, confident scorer with the ability to get hot quick… Much-improved spot-up shooter… Capable of knocking down threes at a high rate… Even off the dribble… Fast release on jumper… Quick with the ball in his hands… Has never seen a shot he doesn’t like… Crafty finisher around the basket… Pretty floater that helps him finish over big men… Way better effort on defense than earlier in his career… Still limited on that end due to poor length.",0.9062
jordan hawkins,Prototypical two-guard… Catch-and-shoot game is already elite… Shooting mechanics are pristine… Quick release… Doesn’t need much space to make shots… Always staying around the wings during transition… Already a lights-out shooter early in NBA career… Gives a lot of effort as a perimeter defender… Below-average finisher around the rim… Not great when finishing through contact… Could change when he gets stronger… Doesn’t have that quick burst when going at the rim… Needs to work on finishing with his left hand.,-0.0243
jordan miller,"Scores most around the rim… Solid finisher… Always goes left, which is be too predictable at the next level… Likes to shoot the three from the left wing… Usually makes the right reads to open teammates in the dunker spot… Not a great shot creator… Too passive on offense… Reluctant to shoot… Subpar three- point shooter… Not much upside as an older prospect.",-0.0757
jordan poole,"Has emerged into a star… Can score in so many ways… Whether around the rim or swishing threes off the dribble… A bit of a Steph Curry lite in a good way… Super confident and willing to pull up from anywhere… Really nice shooting form… Shot selection has improved mightily… Offensive system in Golden Stat helps him not do too much to hurt team… Defense has improved, but he needs to keep improving to be a true two-way player.",0.9423
jose alvarado,"
Do you find this scouting report inaccurate/outdated? Contact us here: hoopshype@hoopshype.com 
",0.0
josh green,"Prototypical wing size at 6-foot-6, 220 pounds… Very high-level athlete with explosive hops… Can hit threes with his feet set… Possesses great insticts, which help him make an impact doing the dirty work… Very good off-ball slasher… Plays with a lot of energy, including on defense… Not a great ball-handler, so he can’t be given the ball and told to make plays yet.",0.9459
josh hart,3-and-D prototype at the shooting guard position… Turned into a legitimate two way threat on the court… Solid three-point shooter with his feet set… Has some skill off the dribble getting to the rim… Tenacious running the floor… Solid defender despite physical limitations… Mostly stuck guarding ball-handlers and wings due to size… Subpar athlete… Can help play make and carry offenses for spurts… Terrific rebounder for his size… Below-average free throw shooter.,0.7351
josh okogie,"Defense-first forward… Thanks to frame and length, can lock down multiple positions… A terror in passing lanes… Racks up a lot of steals… Offensive game is very raw… Athletic, so he can finish around the rim… But not a very fluid ball-handler or shooter.",-0.3071
josh richardson,"Combo guard with size and length… Able to play on the ball or off of it… Off the ball, he’s a decent spot-up three-point shooter… On the ball, he’s a solid scorer and creator out of the pick-and-roll… Loves to go to his pull-up short mid-range jumper… Legit defender but a bit overrated… Been given opportunity to perform more offensively but did not excel.",-0.3838
jrue holiday,One of the most versatile defenders in the league… Almost impossible to post up in mismatch situations… Competent leader on the court… Great passing abilites… Better rebounder than his height suggests… Shaky three-point shot… Can play both guard spots.,0.8854
julian strawther,6-foot-9 wingspan that fits already as a 3-and-D player… Quick release as a shooter… Deadly catch-and-shoot player… Bit of a streaky shooter… Range extends way beyond the perimeter… Solid movement shooter too… Pick-and-pop game is solid… Feasts on transition threes… Has a decent floater game… Subpar defender… Not quick enough to stay in front of opponents… Does put in effort… Not strong enough to guard post players… Too reactionary on jabs and fakes… Gets in foul trouble frequently.,-0.5109
julius randle,Outstanding ballhandler for a big man… Uses that and good quickness to blow by slower opponents… Possesses some crafty finishes by the rim… Decision-making could use some work… Too often puts his head down without a plan… Almost always goes to his left… Can get emotionally to the detriment to his team… Has shown poor body language that does not show leadership.,0.5859
jusuf nurkic,"Bruising big man with great size at 6-foot-11, nearly 300 pounds… Has very agile feet for a man of his stature… One of the best screen-setters in the league… Uses huge shoulders to create space and finish down low… Also likes to operate out of the elbow… Good passer from that region and can hit spot-up shots from the midrange… Solid rebounder and rim-protector, but not elite… Quick hands, which help him pick up a good amount of steals… Can be stung with constant injuries.",0.9509
kj martin,"Son of former NBA All-Star Kenyon Martin… Elite athlete on the wing… Great physical tools as well for a wing… However, his game is more like that of a power forward… At 6-foot-6 with a 6-foot-7 wingspan, he’s going to need to develop his skill to have a chance in the NBA… Poor free throw shooter in high school… That indicates he is going to need a lot of work on his outside jumper.",0.8805
kai jones,"
Do you find this scouting report inaccurate/outdated? Contact us here: hoopshype@hoopshype.com 
",0.0
karl-anthony towns,"One of the most talented big men in league history… Can hit threes at an elite rate… Able to use his high skill level to post up, score on the perimeter and create good looks for teammates… Well above-average rebounder… His shortcomings are defensively, where he doesn’t make a very big impact on most nights… Struggles against undersized players around the post… Has tendency to foul too much and cost his team.",0.7442
kawhi leonard,"All he does is win… Actually has the best winning percentage in NBA history… Cold-blooded, never loses his composure… Has kept the mid-range shot alive in the NBA… Perfect combination of skill and power driving to the rim… All-around defender… Court vision keeps improving… Saves his best for the playoffs… Not exactly a vocal leader… His defense has relaxed a bit in the last few years… Injuries have become an issue and could cause him to lose another step athletically.",0.9721
keegan murray,"Versatile forward who can be used in a variety of ways… Can handle the ball in the pick-and-roll or serve as the screen-and-roller… Solid jump-shooter from the outside… Does a lot of damage off the ball as a cutter and spot-up shooter, raising his value as a complementary piece… Makes winning plays… Lower ceiling as he’s old for his class.",0.25
keldon johnson,"Has improved every season he has played… Can take the ball to the rim, but also shoot the three… Most efficient as a catch-and-shoot player… Highly effective on transition… Decent shooting stroke with solid numbers to back it up… Good feel for attacking closeouts… Won’t make special passes… Very good rebounder for his position… Gives great effort defensively… Has improved a lot on the defensive end as well… Knows what his limitations are.",0.9821
kelly olynyk,"Perimeter-oriented big man… Loves to spot up from three or handle the rock on the outside… Decent playmaker, especially for a frontcourt player… Has tricky moves like an up-and-under that can be hard to defend… Inconsistent overall, however… Good some nights, disappears completely in others… Better defending on the outside than in the paint… Could be useful as a instant offensive player off the bench for playoff team.",0.83
kenrich williams,Great length at the wing… Can defend multiple positions due to his long arms… Defensive instincts are off the charts… Anticipates passes and steps into passing lanes… Can block shots… Offensive game isn’t terrible… Uses his IQ to either cut to rim or make the right basketball decision… Not consistent but can knock down threes if left open.,-0.2263
kentavious caldwell-pope,"3-and-D type of shooting guard… His outside shooting has improved a lot over the years… A good athlete, which helps him defend other guards at an acceptable level… That also helps him do some damage in transition… Perfect complement to players who can get to rim at will.",0.9186
kessler edwards,"
Do you find this scouting report inaccurate/outdated? Contact us here: hoopshype@hoopshype.com 
",0.0
kevin durant,Arguably the best shot creator ever for his size… Makes scoring look easy… Excellent agility and body control… Almost unstoppable in fast-break situations… Elite spot-up three-point shooter… Active defender… Great wingspan and timing protecting the rim… Can have some tunnel vision when attacking the rim.,0.9041
kevin huerter,"2-guard with great size at 6-foot-7… Specializes as a three-point shooter… But can ballhandle a bit… Quick, high release that he can get off with a hand in his face… But also effective scoring off the dribble… So he’s not just a spot-up shooter… Can score out of the pick-and-roll… Underrated athleticism… Moves well off the ball.",0.928
kevin love,Was the gold standard of a stretch four in modern NBA… More of a five now… Can spread the floor while still being effective in the paint… Great instincts and timing to get rebounds… Lacks physicality to protect the rim… Best used now in spurts off the bench to hide defensive flaws.,0.9246
kevon looney,Big man who’s all elbows… Likes to do the dirty work… Sets hard screens and battles on the offensive glass… Good hands down low… Can catch and finish plays in the paint aptly… But don’t expect to post up and get buckets that way… Has a knack for rebounds… Especially offensive rebounds… High IQ player… Underrated playmaking big… Doesn’t get destroyed when forced to switch… Not much of a rim-protector… Can hit a short midrange jumper if wide open… More of a finesse player.,-0.9313
khris middleton,Excellent scorer from mid-range and deep… A guarantee from the free-throw line… Ideal sidekick for a superstar due to his ability to score in catch-and-shoot situations… Smart defender… Excellent work ethic… Has really improved over the years… Clutch… Not as efficient on the offensive end when he’s the main focus of the defense… Perfect skillset for today’s NBA.,0.9616
killian hayes,"Lefty point guard with great size… Very solid playmaker, particularly out of the pick-and-roll… Has creativity to his offensive game… Can knock down jumpers off the dribble… However, he must improve his outside shooting to truly unlock his full potential… Also has to get better with his right hand, which he doesn’t go to often… Unspectacular athlete.",0.9476
klay thompson,"Might be the second-best shooter ever… Can hit shots from anywhere on the floor… Catch-and-shoot extraordinaire, he doesn’t need the ball in his hands much to create damage… Capable of torrid streaks… Among the best perimeter defenders basketball has seen lately… Truly a two-way player… Very good motor… Not much of a shot creator… We’ll probably never know how good he’s as a No. 1 option, but what a devastating player as a sidekick… Gradually returning to pre-injury form.",0.1761
kobe bufkin,Really nice finisher around the rim with either hand… Really crafty going left… Solid step back jumper game… Really good iso player… Nice shooting form… Effective as a catch-and-shoot player… Disruptive as a defender… Creates many transition opportunities with steals… Can really block shots for a guard… Sometimes relies too much on trying to score… Inconsistent as a playmaker.,0.8999
kris dunn,"Top of the line defender at point guard earlier in his career… Long, strong and extremely agile… Getting by him is very difficult for opponents… Elite at racking up steals… His offensive game is very limited, and has seemed to effect his game on defense too… Moves the ball, but he’s a terrible outside shooter… Poor feel for playmaking too… Highly ineffective offensively when ball is not in his hands.",-0.9559
kris murray,Great finisher around the rim… Not too athletic but makes up for it with his length… Usually goes left… Soft touch around the rim… Gets creative finishing around the rim… Does not finish well through contact… High basketball IQ… Knows when to attack mismatches… Smooth shooting mechanics… Inconsistent three-point shooter… Can improve a lot at the next level and be an impact 3-and-D guy… Menace defensively… Creates a lot of deflections… Defending through contact doesn’t deter him… Too predictable when he drives to the rim… Doesn’t have counter moves… Pull-up jumper isn’t consistent.,0.3025
kristaps porzingis,The original unicorn… A quick 7-foot-3 giant who can spread the court… His jumper is a beauty… He can reliably shoot threes from way deep… Great moves in the paint… Good instincts protecting the rim… Struggles against physical opponents defensively… Not that good of a post-up player for his size… Not a good passer… Naturally injury prone due to his size.,-0.2987
kyle anderson,"One of the slowest players in the NBA… Super crafty with the ball… Somehow finds a way to be effective even with his slowness… Even so, knows his role and plays it well… Able to run an offense, even at 6-foot-9… Solid out of the pick-and-roll… Comfortable as a reserve or starter… Outside shot has improved drastically last two seasons.",0.9325
kyle kuzma,Has a knack for scoring in an array of ways… Great scoring instincts… Fast and explosive player… Can create his own shot… Good instincts for rebounding… Inconsistent three-point shooter… But makes enough where the opponent needs to respect it… Reliable to count in the clutch… Can be a better defensive player with his length… But does not seem to always put the effort there.,0.9217
kyle lowry,"Tenacious player on both ends of the floor with a major tendency to make winning plays… Solid outside shooter who can get to the basket and finish among the trees at times… Super confident floor general who can run an offense and set up teammates for easy looks… Great leader… Gets into opponents defensively and makes their lives difficult… Gets lots of charges… His style of play causes different injuries… Conditioning has often been an issue for him, though less so in Miami.",0.9578
kyrie irving,"Best handles in the league… Impossible to defend when he’s in the zone… Can deliver in high-pressure situations… Reliable pull-up shooter from deep… Solid defender if focused… Injury prone since college year… Immense talent, but high maintenance too… Seems to value himself more than being a team player.",0.7351
lamelo ball,"Flashy playmaker with serious range on his jump shot despite funky release point… Possesses elite court vision and likes to dish dimes with an old-school flair… Knowledge of the game far beyond someone his age… Crafty defender who racks up a lot of steals… Not an elite athlete and very light, but has great quickness and change of direction… Must improve strength to become a better finisher in the paint.",0.9692
landry shamet,Combo guard who specializes in outside shooting… Great shooter with his feet set… Gets shots off quickly making him difficult to contest… Can play with and without the ball… Can draw up plays for him to get open looks… Can go through cold spells of shooting… Usually ends up benched when this happens… Decent defender for someone his size… But can’t really guard bigger players than him.,0.4939
larry nance jr.,"Explosive big man… A solid offensive player… Improving as a three-point shooter… That has given his scoring a huge boost… Strong screen-and-roll type… Uses athleticism well in the paint… Great defensive tendencies with high motor… Decent passer in short-roll situations… Not a rim-protector whatsoever… Doesn’t do it much, but great numbers in post-up opportunities… Gets after it on the offensive glass.",0.8316
lauri markkanen,Seven-footer with ability to shoot the three at a high clip or get to rim with 2-3 steps… Always had the ability to shoot the three but finally has taken game to next level as an All-Star player… Many see him as a more athletic modern-day Dirk Nowitzki… Confidence has gone sky-high and consistency has followed… Has buried earlier criticism of poor rebounding and defending as he’s cleaned up both areas… Can play the five effectively in spurts… But probably best to pair him with a rim protector… Should finish career as a multi-year All-Star.,0.8779
lebron james,Great athleticism… Very strong… A physically superior player… Can pretty much score at will when he drives to the basket… Excellent vision of the court… Superb ballhandling skills… Can play the point… Can play the power forward spot too… Great coordination… Great finisher… Still runs the floor well… Able to hit incredible shots… Gets lots of steals and blocks… Average three-point and free-throw shooter… Picks his spots to be dominant at this point in his career… In the discussion for best player ever.,0.988
lonzo ball,Talented playmaker… One of the most creative players in the league… Great point guard to push the ball in transition… Splendid court vision on both ends… Solid instinct to steal the ball… Unselfish to a fault… His jumper is still funky… Lock-down perimeter defender… Wildly inconsistent… Injuries are starting to become worrisome… Slow healer too.,0.9299
luguentz dort,Always plays hard… Selfless defender… Will put his body on the line to grab a loose ball… Can use his explosiveness to lock down players… Very raw offensively… Subpar shooting for a backcourt player… His court vision needs improvement.,0.5719
luka doncic,Generational talent.. His feel for the game is unmatched… Mature beyond his age… Great agility to break through defenses… Not afraid of taking big shots… Can really create for himself and others… Spectacular passing ability… Often embarrasses opponents with a great combination of ballhandling and changes of direction… Great timing to rebound… Can be too passive defensively… Going to be in MVP discussion for next decade… Complains too much to referees… Loses focus when he does this and costs his team in that moment… Can he be a locker room leader?,0.9134
luke kennard,Three-point expert… Quick release and can get hot in a hurry… He’s a borderline elite threat from the outside who can even hit threes off the dribble or on step-backs… Also likes to attack out of the pick-and-roll… Quite effective in doing so… Underrated playmaker for others… Gets exposed defensively… Short wingspan makes it hard for him to change things there… Probably best as a sixth man.,0.4927
luke kornet,Big man with some athleticism and length… Able to spot up from the three-point line… Pick and pop option with his range… Really good timing as a shot blocker… Can get finessed around the rim by bigger players… A bit slow to stay in front of guards on switches… Developed a new technique for contesting three-pointers where he jumps from inside the paint to try and cover the rim from the shooter.,0.4927
malachi flynn,Expert pick-and-roll ballhandler… Very high-level passer… Doesn’t just make safe passes… Very pretty shooting stroke… Can knock down jumpers off the dribble… Plays hard defensively… Quick feet and doesn’t get bullied by bigger players… Small in stature and length… He could struggle to finish in the paint… Not an explosive athlete.,0.1513
malcolm brogdon,A model playmaker… Rarely makes mistakes… Good court vision… Can create shots for himself and his teammates… Reliable shooter from the outside… Smart and active defender… Not an especially gifted athlete… Has trouble staying healthy… Lacks explosiveness… Skill set should allow him to stay in the league for a while.,0.5096
